Year,Value
2024,7.61277447511073
2023,6.59424599357075
2022,5.32175988403378
2021,5.64153069257077
2020,6.05953089054807
2019,8.36408573314054
2018,6.81614778557282
2017,9.56418965754014
2016,9.43348265981905
2015,10.3924630141307
2014,10.2574929627477
2013,10.5822700502552
2012,8.64781163513926
2011,11.1782962297008
2010,12.5505383347633
2009,8.8025531990487
2008,10.7885216870332
2007,11.4561670019891
2006,10.8347270679373
2005,11.8187659491625
2004,13.5726031401471
2003,-2.16135972256865
2002,1.51472570667433
2001,8.30130632267965
2000,6.07321748125295
1999,5.16214582255112
1998,-3.4581391346848
1997,3.1339068517801
1996,12.4261737814951
1995,6.12751141587474
1994,3.18996458331273
1993,13.1428339363255
1992,-8.6724801143672
1991,-7.13747971659305
1990,2.72645178272684
1989,-0.361044179752284
1988,0.503674879297719
1987,13.8593303949744
1986,9.66161236122211
1985,-11.1443529779264
1984,-2.84802145221462
1983,8.23500571913669
1982,0.916013856738402
1981,4.38154812543456
1980,6.42416616401589
1979,-1.10076369425465
1978,2.74000633157128
1977,2.72568162583839
1976,0.148810316081267
1975,1.24613171483642
1974,3.27365832432511
1973,5.10986950748782
1972,4.22715958999208
1971,6.52647616372386
1970,3.48272874063242
1969,1.38865740774845
1968,4.14218784379452
1967,4.06158788001341
1966,7.25659803697334
1965,5.77193201591967
1964,4.090485611454
1963,4.51863392606097
1962,4.32609133566669
